budget,keywords,original_language,original_title,overview,popularity,release_date,revenue,runtime,status,vote_count,director,main_genre_top10,opinion
1700000,circus pet human being dystopia insurrection,en,Conquest of the Planet of the Apes,"In a futuristic world that has embraced ape slavery, Caesar, the son of the late simians Cornelius and Zira, surfaces after almost twenty years of hiding out from the authorities, and prepares for a slave revolt against humanity.",18.828683,1972-06-29,9700000,88.0,Released,236,J. Lee Thompson,Action,0
55000000,culture clash settler forbidden love colony musical,en,Pocahontas,"History comes gloriously to life in Disney's epic animated tale about love and adventure in the New World. Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior. But a vision tells her change is coming, and soon she comes face to face with it in the form of Capt. John Smith.",47.845589,1995-06-14,346079773,81.0,Released,1457,Mike Gabriel,Adventure,1
35000000,rock and roll rock high school music band,en,School of Rock,"Fired from his band and hard up for cash, guitarist and vocalist Dewey Finn finagles his way into a job as a fourth-grade substitute teacher at a private school, where he secretly begins teaching his students the finer points of rock 'n' roll. The school's hard-nosed principal is rightly suspicious of Finn's activities. But Finn's roommate remains in the dark about what he's doing.",43.057323,2003-10-03,131282949,108.0,Released,1414,Richard Linklater,Comedy,1
68000000,berlin russia gas master thief the saint,en,The Saint,"Ivan Tretiak, Russian Mafia boss who wants to create an oil crisis in Moscow and seize power as a result sends Simon Templar, great international criminal, to England to get a secret formula for cold fusion from U.S. scientist Emma Russell. Templar falls in love with Emma and they try to outwit Tretiak and his guerrillas, hiding from them in Moscow",20.913852,1997-04-03,118063304,116.0,Released,302,Phillip Noyce,Thriller,0
40000000,hoodlum,en,Kiss of Death,"Jimmy Kilmartin is an ex-con living in Astoria in the New York City borough of Queens, trying to stay clean and raising a family with his wife Bev. But when his cousin Ronnie causes him to take a fall for driving an illegal transport of stolen cars, a police officer named Calvin Hart is injured and Jimmy lands back in prison. In exchange for an early release, he is asked to help bring down a local crime boss named Little Junior Brown.  Jimmy remarries and attempts to renew a relationship with his child. But he is sent undercover by Detective Hart to work with Junior and infiltrate his operations. As soon as Little Junior kills an undercover federal agent with Jimmy watching, the unscrupulous district attorney and the feds further complicate his life. He must take down Junior or face the consequences.",6.908939999999999,1995-04-21,0,101.0,Released,81,Barbet Schroeder,Action,0
28000000,journalist biography internet information leak activist,en,The Fifth Estate,"A look at the relationship between WikiLeaks founder Julian Assange and his early supporter and eventual colleague Daniel Domscheit-Berg, and how the website's growth and influence led to an irreparable rift between the two friends.",20.267062,2013-10-11,8555008,128.0,Released,364,Bill Condon,Drama,0
0,,en,Last I Heard,"Released from federal prison after 20 years due to his ailing health, a formerly powerful New York mobster moves back home and attempts to reconnect with former life in this poignant Sopranos-esque character study.",0.35819,2013-01-01,0,98.0,Released,1,David Rodriguez,Drama,0
0,,en,I Got the Hook Up,"Two broke buddies feel lucky when they come upon a truckload of cellular phones and begin selling them out of the back of their van. Trouble arises though, when the phones develop faults. The two friends then not only have to deal with unsatisfied customers but also the FBI.",0.593068,1998-05-27,0,93.0,Released,8,Michael Martin,Action,0
35000000,royal family biography royalty period drama queen victoria,en,The Young Victoria,"From Academy Award® winners Graham King and Martin Scorsese, along with the makers of Gosford Park and The Departed, comes the story of Queen Victoria’s early rise to power. From an object of a royal power-struggle to her romantic courtship and legendary marriage to Prince Albert, Emily Blunt (The Devil Wears Prada) gives a stunning performance as the young Victoria. Packed with drama, romance, breath-taking cinematography, lavish costumes and featuring an outstanding British cast including Jim Broadbent, Harriet Walter, Mark Strong, Paul Bettany, Miranda Richardson, and Rupert Friend, The Young Victoria has captivated British audiences, and is the film that Company magazine called “an epic British film, which will sweep you up in her remarkable story.”",16.343317000000006,2009-03-04,27409889,105.0,Released,322,Jean-Marc Vall\u00e9e,Drama,1
125000000,martial arts terrorist hero mutation van,en,Teenage Mutant Ninja Turtles,The city needs heroes. Darkness has settled over New York City as Shredder and his evil Foot Clan have an iron grip on everything from the police to the politicians. The future is grim until four unlikely outcast brothers rise from the sewers and discover their destiny as Teenage Mutant Ninja Turtles. The Turtles must work with fearless reporter April and her wise-cracking cameraman Vern Fenwick to save the city and unravel Shredder's diabolical plan.,143.350376,2014-08-07,477200000,101.0,Released,2636,Jonathan Liebesman,others,0
9000000,bus assault rifle sniper machete dystopia,en,The Purge: Anarchy,"Three groups of people are trying to survive Purge Night, when their stories intertwine and are left stranded in The Purge trying to survive the chaos and violence that occurs.",82.975841,2014-07-17,108782847,104.0,Released,1954,James DeMonaco,Horror,1
41000000,detective medallion leather jacket wretch fighter,en,The Medallion,A Hong Kong detective suffers a fatal accident involving a mysterious medallion and is transformed into an immortal warrior with superhuman powers.,14.653718,2003-08-15,0,88.0,Released,281,Gordon Chan,Thriller,0
522360,woman director,fr,They Will Have to Kill Us First,"In 2012, jihadists took control of northern Mali. They imposed one of the strictest interpretations of sharia law in history. On August 12th they banned music - radio stations destroyed, instruments burned and musicians facing torture, even death. Overnight, Mali’s most revered members of society – the musicians – were forced into hiding or exile. This film follows Mali’s musicians as they fight to keep music alive in their country. We witness fierce battles between the army and the jihadists, capture life over borders at refugee camps where money and hope are scarce, follow perilous journeys home to war ravaged cities, and for one band, Songhoy Blues, their path to international stardom.",0.071349,2015-10-13,0,105.0,Released,1,Johanna Schwartz,others,0
25000000,sex aquarium nudity one-night stand bride,en,Good Luck Chuck,"Cursed since childhood, dentist Charlie Kagan cannot find the right woman. Even worse, he learns that each of his ex-girlfriends finds true love with the man she meets after her relationship with him ends. Hearing of Charlie's reputation as a good-luck charm, women from all over line up for a quick tryst. But when Charlie meets the woman of his dreams, he must find a way to break the curse or risk losing her to the next man she meets.",21.729434,2007-09-21,59192128,101.0,Released,444,Mark Helfrich,Comedy,0
0,competition documentary dance contest ballroom dancing kids,en,Mad Hot Ballroom,"Eleven-year-old New York City public school kids journey into the world of ballroom dancing and reveal pieces of themselves and their world along the way. Told from their candid, sometimes hilarious perspectives, these kids are transformed, from reluctant participants to determined competitors, from typical urban kids to ""ladies and gentlemen,"" on their way to try to compete in the final citywide.",0.772668,2005-05-13,0,105.0,Released,8,Marilyn Agrelo,others,1
6500000,nasa new mexico biological weapon epilepsy secret lab,en,The Andromeda Strain,"When virtually all of the residents of Piedmont, New Mexico, are found dead after the return to Earth of a space satellite, the head of the US Air Force's Project Scoop declares an emergency. A group of eminent scientists led by Dr. Jeremy Stone scramble to a secure laboratory and try to first isolate the life form while determining why two people from Piedmont - an old alcoholic and a six-month-old baby - survived. The scientists methodically study the alien life form unaware that it has already mutated and presents a far greater danger in the lab, which is equipped with a nuclear self-destruct device designed to prevent the escape of dangerous biological agents..",12.524953,1971-03-12,12376563,131.0,Released,190,Robert Wise,others,1
0,asia island mercenary independent film jungle,en,Men of War,"Nick Gunar is a burnt-out, jaded and hard-up former mercenary who is having a difficult time adjusting to civilian life. At the end of his rope, he is hired by the Nitro Mine Corporation to strong-arm the natives of a South China Sea island into giving up their rights to its valuable mineral resources. Nick loathes the thought of another mission, but this seemingly easy job will earn him enough money to get back with his estranged family. He recruits some of his former mercenary buddies to help him with the job. The island people refuse to give up their land and Nick decides to help them fight the greedy corporation that hired him. As greed and treachery begin to unravel, Nick's band of mercenaries choose sides.",1.734764,1994-09-04,0,103.0,Released,29,Perry Lang,Action,0
60000000,miami television career vitamin b reporter,en,Up Close & Personal,"Tally Atwater has a dream: to be a prime-time network newscaster. She pursues this dream with nothing but ambition, raw talent and a homemade demo tape. Warren Justice is a brilliant, hard edged, veteran newsman. He sees Tally has talent and becomes her mentor. Tally’s career takes a meteoric rise and she and Warren fall in love. The romance that results is as intense and revealing as television news itself. Yet, each breaking story, every videotaped crisis that brings them together, also threatens to drive them apart...",4.801849,1996-03-01,0,119.0,Released,50,Jon Avnet,Drama,0
50000000,high school undercover cop buddy comedy aftercreditsstinger duringcreditsstinger,en,22 Jump Street,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can have a mature relationship. If these two overgrown adolescents can grow from freshmen into real men, college might be the best thing that ever happened to them.",52.380982,2014-06-05,188441614,112.0,Released,3319,Phil Lord,Crime,1
4700000,fish boy parenting first love troubled childhood,en,Treading Water,"At first glance, Mica seems a perfectly normal boy. But first glances can often be deceiving... For one, Mica's house is now a museum honouring Guillermo Garibai, the legendary Mexican crooner. Mica spends most of his time there, giving guided tours to aging Garibai fans. But stranger still, Mica smells. He smells like fish. Numerous doctors, his life-long therapist and even his own parents are at a loss. No one wants to be Mica's friend. Girls won't talk to him. His life appears pointless, uneventful, doomed. That is, until Laura walks into it.",0.217538,2013-09-13,0,92.0,Released,6,Analeine Cal y Mayor,Drama,0
35000000,texas prisoner cop drug cartel on the run,en,Hot Pursuit,An uptight by-the-book cop must protect the widow of a drug boss from crooked cops and gunmen.,18.262017,2015-05-08,51680201,87.0,Released,647,Anne Fletcher,Action,0
0,winter mutant post-apocalyptic dystopia meteor,en,Mutant World,"A decade after a disastrous meteor impact wipes out most of society, a group of survivalists emerge to find themselves on a twisted version of the old Earth, with a nascent society besieged by vicious marauders, ferocious mutants, and the dreadful symptoms of a post-apocalyptic environment.",1.893697,2014-09-27,1500000,85.0,Released,9,David Winning,others,0
0,independent film,en,The Exploding Girl,"On a summer break from college, Ivy, a young epileptic woman, struggles to balance her feelings for her fledgling boyfriend while her friend Al crashes with her for the season.",0.611081,2009-04-22,0,80.0,Released,15,Bradley Rust Gray,Drama,1
1500000,parody parallel world,en,My Name Is Bruce,B Movie Legend Bruce Campbell is mistaken for his character Ash from the Evil Dead trilogy and forced to fight a real monster in a small town in Oregon.,7.5591,2007-10-01,173066,86.0,Released,107,Bruce Campbell,Comedy,0
25000000,film producer midlife crisis independent film divorce,en,What Just Happened,"During the course of an ordinary week in Hollywood, movie producer Ben (Robert De Niro) must navigate his way through shark-infested waters as he struggles to complete his latest projects. A demanding studio boss (Catherine Keener) demands extensive changes to a movie starring Sean Penn, while another chief won't greenlight a project unless star Bruce Willis shaves his beard. Meanwhile, Ben tries to reconcile with his wife and maintain a relationship with his young daughter.",8.31653,2008-10-17,6673422,104.0,Released,127,Barry Levinson,Comedy,0
62000,transplantation experiment mutant brain fianc\u00e9,en,The Brain That Wouldn't Die,"Dr. Bill Cortner (Jason Evers) and his fiancée, Jan Compton (Virginia Leith), are driving to his lab when they get into a horrible car accident. Compton is decapitated. But Cortner is not fazed by this seemingly insurmountable hurdle. His expertise is in transplants, and he is excited to perform the first head transplant. Keeping Compton's head alive in his lab, Cortner plans the groundbreaking yet unorthodox surgery. First, however, he needs a body.",2.407048,1962-02-25,0,82.0,Released,32,Joseph Green,Horror,0
140000000,saving the world paris moon cataclysm asteroid,en,Armageddon,"When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.",58.485967,1998-07-01,553799566,151.0,Released,2482,Michael Bay,Action,1
70000000,vampire dracula bite battle 15th century,en,Dracula Untold,"Vlad Tepes is a great hero, but when he learns the Sultan is preparing for battle and needs to form an army of 1,000 boys, including Vlad's son, he vows to find a way to protect his family. Vlad turns to dark forces in order to get the power to destroy his enemies and agrees to go from hero to monster as he's turned into the mythological vampire Dracula.",64.45794699999999,2014-10-01,215529201,92.0,Released,2389,Gary Shore,Horror,0
10500000,moon jupiter artificial intelligence man vs machine technology,en,2001: A Space Odyssey,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",86.201184,1968-04-10,68700000,149.0,Released,2998,Stanley Kubrick,others,1
23000000,underdog competition street gang hip-hop breakdance,en,Step Up 2: The Streets,"When rebellious street dancer Andie lands at the elite Maryland School of the Arts, she finds herself fighting to fit in while also trying to hold onto her old life. When she joins forces with the schools hottest dancer, Chase, to form a crew of classmate outcasts to compete in Baltimore s underground dance battle The Streets.",28.973074,2008-02-14,150816700,98.0,Released,640,Jon M. Chu,others,1
1000000,father faith,en,Courageous,"As law enforcement officers, Adam Mitchell, Nathan Hayes, and their partners are confident and focused. They willingly stand up to the worst the streets have to offer. Yet at the end of the day, they face a challenge that none of them are truly prepared to tackle: fatherhood. They know that God desires to turn the hearts of fathers to their children, but their children are beginning to drift further and further away from them. When tragedy hits home, these men are left wrestling with their hopes, their fears, their faith, and their fathering. Can a new found urgency help these dads draw closer to God ... and to their children? COURAGEOUS is the fourth release of Sherwood Pictures, the movie making ministry of Sherwood Church in Albany, Georgia.",5.961119,2011-09-30,34522221,129.0,Released,77,Alex Kendrick,Drama,1
650000,pop culture fan culture documentary toys,en,A LEGO Brickumentary,A look at the global culture and appeal of the LEGO building-block toys.,1.631274,2015-07-31,0,93.0,Released,55,Kief Davidson,others,1
10000000,missile light transformation low-budget alien,en,Skyline,"When strange lights descend on the city of Los Angeles, people are drawn outside like moths to a flame where an extraterrestrial force threatens to swallow the entire human population off the face of the Earth. Now the band of survivors must fight for their lives as the world unravels around them.",26.268209,2010-11-11,66821036,100.0,Released,507,Colin Strause,others,0
35866397,ocean lake bird horse parrot,fr,Le peuple migrateur,"The cameras of Jacques Perrin fly with migratory birds: geese, storks, cranes. The film begins with spring in North America and the migration to the Arctic; the flight is a community event for each species. Once in the Arctic, it's family time: courtship, nests, eggs, fledglings, and first flight. Chicks must soon fly south. Bad weather, hunters, and pollution take their toll. Then, the cameras go",3.75074,2001-12-12,20217080,98.0,Released,49,Jacques Perrin,others,1
0,,en,Midnight Cabaret,"A Broadway producer puts on a play with a Devil character in it. Soon the actors begin having nightmares, and events that are mentioned in the play really start happening.",0.001389,1990-01-01,0,94.0,Released,0,Pece Dingo,Horror,0
0,,en,The Love Letter,20th century computer games designer Scott exchanges love letters with 19th century poet Elizabeth Whitcomb through an antique desk that can make letters travel through time.,0.116873,1998-02-01,0,98.0,Released,3,Dan Curtis,Comedy,0
5000000,new york boat mask psychopath high school,en,Friday the 13th Part VIII: Jason Takes Manhattan,"The Big Apple's in big trouble, as indestructible psycho-fiend Jason Vorhees hits the road to New York City. After a shocking return from beyond the grave, the diabolical Jason ships out abroad a teen-filled ""love boat"" bound for New York, which he soon transforms into the ultimate voyage of the damned. Then one of his terrified victims escapes into the nightmarish maze of Manhattan's subways and sewers, only to confront Jason one final time.",12.904615,1989-07-28,14000000,100.0,Released,191,Rob Hedden,Horror,0
70000000,veterinarian forest bear animal animal protection,en,Dr. Dolittle 2,"Dr. John Dolittle the beloved doctor is back, but this time around he plays cupid to bumbling circus bear Archie as he's so smitten by a Pacific Western bear female, Ava. Dr. Dolittle must help a group of forest creatures to save their forest. But with the aid of his mangy, madcap animal friends, Dr. Dolittle must teach Archie the ways of true romance in time to save his species and his home before their habit is gone. So John held a meeting for every animal in the forest to not give up without a fight no matter what kind of animal expression they have and everyone agrees to do it and save their home.",13.543053,2001-06-22,176104344,87.0,Released,410,Steve Carr,Comedy,0
0,nudity seduction,en,Butterfly,"Orson Welles, as judge Rauch, holds a lengthy trial against Jess Tyler, a caretaker deserted by his wife ten years before, who's accused of improper relations with his daughter Kady. Complications follows when Wash, father of Kady's baby, comes back to take her away.",1.063615,1982-02-05,0,107.0,Released,12,Matt Cimber,Crime,0
12000000,dancing new love dance baltimore art school,en,Step Up,"Everyone deserves a chance to follow their dreams, but some people only get one shot. Tyler Gage is a rebel from the wrong side of Baltimore's tracks and the only thing that stands between him and an unfulfilled life are his dreams of one day making it out of there. Nora is a privileged ballet dancer attending Baltimore's ultra-elite Maryland School of the Arts",45.477802,2006-08-11,114194847,104.0,Released,1060,Anne Fletcher,others,1
0,,en,Creature,"An amphibious shark-like monster terrorizes an abandoned secret military base and the people who live on the island it is located on. A marine biologist, as well as several other people, try to stop it before it is too late...",2.857848,1998-05-17,0,176.0,Released,21,Stuart Gillard,Horror,0
0,biography,ky,Kurmanjan Datka. Queen of the Mountains,"At a time when most females in Asia possess little or no power over their lives, headstrong Kurmanjan Datka defies her family's authority -- and ultimately becomes the ruler of her native Kyrgyzstan region.",0.077873,2014-08-22,0,135.0,Released,0,Sadyk Sher-Niyaz,Drama,0
155000000,based on novel magic good vs evil king narnia,en,The Chronicles of Narnia: The Voyage of the Dawn Treader,"This time around Edmund and Lucy Pevensie, along with their pesky cousin Eustace Scrubb find themselves swallowed into a painting and on to a fantastic Narnian ship headed for the very edges of the world.",49.661984,2010-08-13,415686217,113.0,Released,1514,Michael Apted,Adventure,0
0,,en,Iguana,A grotesquely disfigured harpooner called Iguana is severely mistreated by his fellow sailors on a whaling ship in the 19th century. One night he escapes and takes up residence on a remote island. He makes himself ruler of the island and declares war on mankind. Anyone unfortunate enough to wind up on the island with Iguana is subjected to his cruel tyranny.,0.214704,1988-04-01,0,88.0,Released,1,Monte Hellman,others,0
0,angel miracle village christian candle,en,The Christmas Candle,"Deep in the heart of the English countryside lies the enchanting village of Gladbury. Legend has it every 25 years an angel visits the village candlemaker and touches a single candle. Whoever lights this candle receives a miracle on Christmas Eve. But in 1890, at the dawn of the electric age, this centuries old legend may come to an end.",1.799504,2013-11-22,0,100.0,Released,8,John Stephenson,Drama,0
42000000,cold war weapon arms dealer,en,Lord of War,"Yuri Orlov is a globetrotting arms dealer and, through some of the deadliest war zones, he struggles to stay one step ahead of a relentless Interpol agent, his business rivals and even some of his customers who include many of the world's most notorious dictators. Finally, he must also face his own conscience.",34.828241,2005-09-16,24127895,122.0,Released,1335,Andrew Niccol,Crime,1
20000000,american football biography sport championship,en,My All American,"Freddie Steinmark, an underdog on the gridiron, faces the toughest challenge of his life after leading his team to a championship season.",3.102987,2015-11-13,0,118.0,Released,36,Angelo Pizzo,Drama,1
18000000,italy composer opera talent musician,en,Amadeus,"The incredible story of genius musician Wolfgang Amadeus Mozart, told in flashback by his peer and secret rival Antonio Salieri – now confined to an insane asylum.",31.82675,1984-10-26,51973029,160.0,Released,1076,Milo\u0161 Forman,Drama,1
0,musical,en,Duets,"Duets is a road-trip comedy which revolves around the little known world of karaoke and the whimsical characters who inhabit it. All roads lead to Omaha, site of a national karaoke competition where this motley group of singers and stars come together for a blow-out sing-off.",2.25453,2000-09-09,0,112.0,Released,34,Bruce Paltrow,Comedy,0
10,nurse sexual murder revenge lesbian relationship dark comedy,en,Nurse 3-D,"Abby Russell, a beautiful, dedicated nurse with a sinister side, has a secret life in which she targets and punishes dishonest men.",10.013629,2013-09-28,10000000,99.0,Released,119,Douglas Aarniokoski,Horror,0
5500000,paris florida fighter pilot sanatorium secret organization,en,Thunderball,A criminal organization has obtained two nuclear bombs and are asking for a 100 million pound ransom in the form of diamonds in seven days or they will use the weapons. The secret service sends James Bond to the Bahamas to once again save the world.,31.036,1965-12-16,141195658,130.0,Released,562,Terence Young,Adventure,1
0,camcorder videoband delusion nuclear power plant video store,en,Be Kind Rewind,"A man whose brain becomes magnetized unintentionally destroys every tape in his friend's video store. In order to satisfy the store's most loyal renter, an aging woman with signs of dementia, the two men set out to remake the lost films.",17.662682999999994,2008-01-20,0,102.0,Released,424,Michel Gondry,Drama,0
35000000,brothel corset crusader musical governor,en,The Best Little Whorehouse in Texas,"The town sheriff and a madame team up to stop a television evangelist from shutting down the local whorehouse, the famed ""Chicken Ranch.""",4.189378,1982-07-23,69701637,114.0,Released,41,Colin Higgins,Comedy,0
180000000,dystopia giant robot giant monster apocalypse imax,en,Pacific Rim,"When legions of monstrous creatures, known as Kaiju, started rising from the sea, a war began that would take millions of lives and consume humanity's resources for years on end. To combat the giant Kaiju, a special type of weapon was devised: massive robots, called Jaegers, which are controlled simultaneously by two pilots whose minds are locked in a neural bridge. But even the Jaegers are proving nearly defenseless in the face of the relentless Kaiju. On the verge of defeat, the forces defending mankind have no choice but to turn to two unlikely heroes—a washed-up former pilot (Charlie Hunnam) and an untested trainee (Rinko Kikuchi)—who are teamed to drive a legendary but seemingly obsolete Jaeger from the past. Together, they stand as mankind's last hope against the mounting apocalypse.",56.523205,2013-07-11,407602906,131.0,Released,4794,Guillermo del Toro,Action,1
24000000,film festivals slaughter slasher,en,Scream 2,"Two years after the terrifying events that occurred in Woodsboro, Sidney is now attending Windsor College in Cincinnati, and Gale Weathers' best selling book on Sidney's life has now been made into a major motion picture. When two college students are killed in a theatre while watching the new film 'Stab', Sidney knows deep down that history is repeating itself.",35.244037,1997-12-09,172363301,120.0,Released,840,Wes Craven,Horror,0
38000000,clown elephant trainer veterinary,en,Water for Elephants,"In this captivating Depression-era melodrama, impetuous veterinary student Jacob Jankowski joins a celebrated circus as an animal caretaker but faces a wrenching dilemma when he's transfixed by angelic married performer Marlena.",16.801218,2011-03-15,114156230,120.0,Released,850,Francis Lawrence,Drama,1
35000000,nanny fantasy children aftercreditsstinger duringcreditsstinger,en,Nanny McPhee and the Big Bang,"Nanny McPhee appears at the door of a harried young mother, Mrs. Isabel Green, who is trying to run the family farm while her husband is away at war. But once she’s arrived, Nanny McPhee discovers that the children are fighting a war of their own against two spoiled city cousins who have just moved in. Relying on everything from a flying motorcycle and a statue that comes to life to a tree-climbing piglet and a baby elephant, Nanny uses her magic to teach her mischievous charges five new lessons.",23.835055,2010-03-26,93246388,109.0,Released,436,Susanna White,Comedy,0
0,,hi,Housefull,"Believing himself to be a jinx and bringing bad luck upon himself and others, a man attempts to find true love, but ends up in very complicated relationships.",0.12082,2010-04-30,0,135.0,Released,29,Sajid Khan,Drama,0
0,independent film woman director,es,La misma luna,"Tells the parallel stories of nine-year-old Carlitos and his mother, Rosario. In the hopes of providing a better life for her son, Rosario works illegally in the U.S. while her mother cares for Carlitos back in Mexico.",2.756435,2008-03-20,23311391,106.0,Released,28,Patricia Riggen,Drama,1
80000000,wishes come true escapade disorder imaginary miraculous event,en,Bedtime Stories,Skeeter Bronson is a down-on-his-luck guy who's always telling bedtime stories to his niece and nephew. But his life is turned upside down when the fantastical stories he makes up for entertainment inexplicably turn into reality. Can a bewildered Skeeter manage his own unruly fantasies now that the outrageous characters and situations from his mind have morphed into actual people and events?,23.531721,2008-12-24,212874442,99.0,Released,901,Adam Shankman,Fantasy,0
0,england crusade robin hood king richard,en,Robin and Marian,"Whatever became of Robin Hood after his famed tale of good deeds ended? Now you can find out, in this sequel that takes place years after Robin and his merry men bested the Sheriff of Nottingham. After following Richard the Lionhearted to the crusades, Robin (Sean Connery) returns to Sherwood Forest to find things drastically changed. Audrey Hepburn plays the stalwart Marian … who's joined a nunnery!",3.199904,1976-03-11,0,106.0,Released,50,Richard Lester,Action,1
10000000,brother sister relationship sister sister relationship family clan idealist duringcreditsstinger,en,Our Idiot Brother,"Everybody has the sibling who is always just a little bit behind the curve when it comes to getting his life together. For sisters Liz, Miranda and Natalie, that person is their perennially upbeat brother Ned, an erstwhile organic farmer whose willingness to rely on the honesty of mankind is a less-than-optimum strategy for a tidy, trouble-free existence. Ned may be utterly lacking in common sense, but he is their brother and so, after his girlfriend dumps him and boots him off the farm, his sisters once again come to his rescue. As Liz, Miranda and Natalie each take a turn at housing Ned, their brother's unfailing commitment to honesty creates more than a few messes in their comfortable routines. But as each of their lives begins to unravel, Ned's family comes to realize that maybe, in believing and trusting the people around him, Ned isn't such an idiot after all.",15.688439,2011-08-26,17273593,90.0,Released,365,Jesse Peretz,Comedy,0
0,independent film,en,The Dangerous Lives of Altar Boys,"A group of Catholic school friends, after being caught drawing an obscene comic book, plan a heist that will outdo their previous prank and make them local legends.",2.24888,2002-06-14,0,104.0,Released,53,Peter Care,Comedy,1
10000000,,fr,Elle s'appelait Sarah,"On the night of 16 July 1942, ten year old Sarah and her parents are being arrested and transported to the Velodrome d'Hiver in Paris where thousands of other jews are being send to get deported. Sarah however managed to lock her little brother in a closed just before the police entered their appartment.Sixty years later, Julia Jarmond, an American journalist in Paris, gets the assignment to write an article about this raid, a black page in the history of France. She starts digging archives and through Sarah's file discovers a well kept secret about her own in-laws.",10.072199,2010-09-16,17511906,111.0,Released,196,Gilles Paquet-Brenner,Drama,1
20000000,confidence trauma leaving one's family childhood memory airplane,en,Reign Over Me,A man who lost his family in the September 11 attack on New York City runs into his old college roommate. Rekindling the friendship is the one thing that appears able to help the man recover from his grief.,20.82778,2007-03-23,22222308,124.0,Released,334,Mike Binder,Drama,1
2000000,,en,Small Apartments,"When a clumsy deadbeat accidentally kills his landlord, he must do everything in his power to hide the body, only to find that the distractions of lust, the death of his beloved brother, and a crew of misfit characters force him on a journey where a fortune awaits him.",5.100741,2012-03-10,0,96.0,Released,50,Jonas \u00c5kerlund,Comedy,0
2000000,corruption capitalism globalization bank banker,en,Inside Job,"A film that exposes the shocking truth behind the economic crisis of 2008. The global financial meltdown, at a cost of over $20 trillion, resulted in millions of people losing their homes and jobs. Through extensive research and interviews with major financial insiders, politicians and journalists, Inside Job traces the rise of a rogue industry and unveils the corrosive relationships which have corrupted politics, regulation and academia.",16.930914,2010-10-08,7871522,109.0,Released,286,Charles Ferguson,others,1
13000000,,en,Super Hybrid,"Late one night, a mysterious car is brought into the Chicago police impound garage after a deadly traffic accident. The on-call mechanics soon discover the car has a mind of its own. With hundreds of horsepower and two tons of reinforced steel at its command, it's a seemingly unstoppable killing machine capable of outrunning -- and outwitting -- humans.",4.009379,2010-01-01,0,95.0,Released,24,Eric Valette,Horror,0
22500000,istanbul australia post world war i farmer missing in action,en,The Water Diviner,"In 1919, Australian farmer Joshua Connor travels to Turkey to discover the fate of his three sons, reported missing in action. Holding on to hope, Joshua must travel across the war-torn landscape to find the truth and his own peace.",22.096286,2014-12-25,15520023,112.0,Released,431,Russell Crowe,others,1
0,games woman director programmers coding,en,Indie Game: The Movie,"Indie Game: The Movie is a feature documentary about video games, their creators and the craft. The film follows the dramatic journeys of video game developers as they create and release their games to the world. The film tells the emotional story of friends Edmund McMillen &amp; Tommy Refenes, as they craft their first Xbox game: ""Super Meat Boy"". It follows Phil Fish, the creator of the highly-anticipated game: ""FEZ"". After 4 years of working in near solitude, Phil reveals his opus to the public for the first time. And, the film tells the surprising story of one of the highest-rated video games of all time:""Braid"". The film is about making video games, but at its core, it's about the creative process, and exposing yourself through your work. In short: Making fun and games is anything but fun and games.",7.6766770000000015,2012-05-18,0,96.0,Released,203,Lisanne Pajot,others,1
1500000,bomb jewry world war ii jewish life jew,en,The Believer,The movie tells the story of a young Jewish man who becomes fiercely anti-Semitic.,9.856826,2001-01-19,416925,98.0,Released,151,Henry Bean,Drama,1
150000000,africa jealousy dance hunger lion,en,Madagascar: Escape 2 Africa,"Alex, Marty, Melman, Gloria, King Julien, Maurice, the penguins and the chimps are back and still marooned on Madagascar. In the face of this obstacle, the New Yorkers have hatched a plan so crazy it just might work. With military precision, the penguins have repaired an old crashed plane... sort of.",44.141021,2008-10-30,603900354,89.0,Released,1810,Eric Darnell,others,0
0,biography james brown,en,Get on Up,A chronicle of James Brown's rise from extreme poverty to become one of the most influential musicians in history.,13.064264,2014-08-01,31911598,139.0,Released,158,Tate Taylor,Drama,1
20000000,corruption capitalism winter american dream immigrant,en,A Most Violent Year,"A thriller set in New York City during the winter of 1981, statistically one of the most violent years in the city's history, and centered on a the lives of an immigrant and his family trying to expand their business and capitalize on opportunities as the rampant violence, decay, and corruption of the day drag them in and threaten to destroy all they have built.",37.629309,2014-12-30,12007070,125.0,Released,546,J.C. Chandor,Crime,1
0,independent film lesbian,en,She's Gotta Have It,"The story of Nola Darling's simultaneous sexual relationships with three different men is told by her and by her partners and other friends. All three men wanted her to commit solely to them; Nola resists being ""owned"" by a single partner.",6.722213000000001,1986-08-08,0,84.0,Released,25,Spike Lee,Comedy,0
